acl 2.3.1-2
python-requests 2.27.1-1
python-resolvelib 0.5.5-4
python-retrying 1.3.3-13
python-setuptools 1:59.5.0-1
python-sgmllib3k 1.0.0-4
python-six 1.16.0-5
python-soupsieve 2.3.1-1
python-sqlalchemy 1.4.35-1
python-stevedore 3.5.0-3
python-toml 0.10.2-7
python-tomli 2.0.1-1
python-urllib3 1.26.9-1
python-userpath 1.7.0-3
python-virtualenv 20.11.0-1
python-virtualenv-clone 0.5.7-3
python-virtualenvwrapper 4.8.4-6
python-webencodings 0.5.1-9
python-websockets 10.2-1
python-yaml 6.0-1
python-zipp 3.8.0-1
python2 2.7.18-5
qpdf 10.6.3-1
qpdfview 0.4.18-2
qrencode 4.1.1-1
qt5-base 5.15.3+kde+r137-2
qt5-declarative 5.15.3+kde+r20-1
qt5-location 5.15.3+kde+r2-1
qt5-multimedia 5.15.3+kde+r0-1
qt5-sensors 5.15.3+kde+r0-1
qt5-speech 5.15.3+kde+r1-1
qt5-styleplugins 5.0.0.20170311-27
qt5-svg 5.15.3+kde+r12-1
qt5-translations 5.15.3+kde+r2-1
qt5-wayland 5.15.3+kde+r44-1
qt5-webchannel 5.15.3+kde+r3-1
qt5-webengine 5.15.9-2
qt5-webkit 5.212.0alpha4-13
qt5-x11extras 5.15.3+kde+r0-1
qt5ct 1.5-2
quazip-qt5 1.3-1
quodlibet 4.5.0-1
raptor 2.0.15-19
rasqal 1:0.9.33-5
rav1e 0.4.1-2
re2 1:20220401-1
readline 8.1.002-1
redland 1:1.0.17-8
reflector 2021.11-3
rest 0.8.1+r4+ge5ee6ef-1
rhash 1.4.2-1
ripgrep 13.0.0-2
rkhunter 1.4.6-2
rlwrap 0.45.2-1
rsnapshot 1.4.4-1
rsync 3.2.4-1
rtkit 0.13-1
rubberband 2.0.2-1
run-parts 5.5-1
rustup 1.24.3-2
rxvt-unicode 9.26-2
rxvt-unicode-terminfo 9.26-2
sane 1.1.1-1
sbc 1.5-2
sdl2 2.0.20-2
sed 4.8-1
semver 7.3.7-1
serf 1.3.9-5
shaderc 2022.1-2
shadow 4.11.1-1
shared-mime-info 2.0+144+g13695c7-1
shellcheck 0.8.0-90
slang 2.3.2-2
slock 1.4-6
snappy 1.1.9-2
snixembed-git 0.3.1.r1.g21e6aea-1
sound-theme-freedesktop 0.8-4
speex 1.2.0-3
speexdsp 1.2.0-2
spirv-tools 2022.1-1
spotify 1:1.1.80.699-1
sqlite 3.38.2-1
sqlitebrowser 3.12.2-1
srt 1.4.4-1
startup-notification 0.12-7
strace 5.17-1
subversion 1.14.1-5
sudo 1.9.10-1
svt-av1 0.9.0-2
sxiv 26-1
sysfsutils 2.1.1-1
sysstat 12.5.5-1
systemd 250.4-2
systemd-libs 250.4-2
systemd-sysvcompat 250.4-2
t1lib 5.1.2-8
talloc 2.3.3-3
tar 1.34-1
tbb 2021.5.0-1
tcpdump 4.99.1-1
tdb 1.4.6-1
termdown 1.18.0-2
texinfo 6.8-2
texlive-bibtexextra 2021.62705-1
texlive-bin 2021.59745-3
texlive-core 2021.62793-1
texlive-fontsextra 2021.62623-1
texlive-formatsextra 2021.62145-1
texlive-games 2021.62102-1
texlive-humanities 2021.61878-1
texlive-langchinese 2021.62313-1
texlive-langgreek 2021.61820-1
texlive-latexextra 2021.62806-1
texlive-music 2021.62509-1
texlive-pictures 2021.62760-1
texlive-pstricks 2021.61917-1
texlive-publishers 2021.62814-1
texlive-science 2021.62659-1
thin-provisioning-tools 0.9.0-1
thunderbird 91.8.0-2
thunderbird-i18n-en-gb 91.8.0-2
tig 2.5.5-1
tint-tetris 0.05-3
tint2 17.0.2-1
tinyxml2 9.0.0-1
tmux 3.2_a-1
tmux-bash-completion-git r16.f5d5323-1
tpm2-tss 3.2.0-1
tracker3 3.3.0-2
transmission-qt 3.00-3
trash-cli 0.22.4.16-1
tree 2.0.2-1
tree-sitter 0.20.6-1
trizen 1:1.66-1
tslib 1.22-1
tspreed 2.2.0-1
ttf-croscore 20201226-2
ttf-dejavu 2.37+18+g9b5d1b2f-3
ttf-liberation 2.1.5-1
ttf-ubuntu-font-family 0.83-8
turbostat 5.17-1
tzdata 2022a-1
uchardet 0.0.7-1
udiskie 2.4.2-1
udisks2 2.9.4-1
unibilium 2.1.1-1
urlview 0.9-13
urxvt-perls 2.3-1
usbutils 014-2
util-linux 2.38-1
util-linux-libs 2.38-1
v4l-utils 1.22.1-1
vala 0.56.0-2
vid.stab 1.1-3
vim-runtime 8.2.4651-1
vimiv 0.9.1-5
vmaf 2.3.1-1
volume_key 0.3.12-7
vulkan-icd-loader 1.3.208-1
wayland 1.20.0-2
webkit2gtk 2.36.0-3
webrtc-audio-processing 0.3.1-3
wget 1.21.3-1
which 2.21-5
wireless_tools 30.pre9-3
woff2 1.0.2-3
wpa_supplicant 2:2.10-4
wpebackend-fdo 1.12.0-2
x264 3:0.164.r3081.19856cc-2
x265 3.5-3
xapian-core 1:1.4.19-2
xbindkeys 1.8.7-2
xbitmaps 1.1.2-2
xcb-proto 1.14.1-5
xcb-util 0.4.0-3
xcb-util-image 0.4.0-3
xcb-util-keysyms 0.4.0-3
xcb-util-renderutil 0.3.9-3
xcb-util-wm 0.4.1-3
xdg-dbus-proxy 0.1.3-1
xdg-utils-handlr 0.3.1-2
xdotool 3.20211022.1-1
xf86-input-libinput 1.2.1-1
xf86-input-wacom 1.0.0-1
xf86-video-ati 1:19.1.0.r9.g5eba006e-2
xf86-video-intel 1:2.99.917+916+g31486f40-2
xfsprogs 5.15.0-2
xkeyboard-config 2.35.1-1
xmlsec 1.2.33-1
xorg-appres 1.0.6-1
xorg-fonts-encodings 1.0.5-2
xorg-server 21.1.3-6
xorg-server-common 21.1.3-6
xorg-server-xvfb 21.1.3-6
xorg-setxkbmap 1.3.3-1
xorg-util-macros 1.19.3-1
xorg-xauth 1.1.1-1
xorg-xbacklight 1.2.3-2
xorg-xinit 1.4.1-3
xorg-xinput 1.6.3-2
xorg-xkbcomp 1.4.5-1
xorg-xkbprint 1.0.5-1
xorg-xman 1.1.5-2
xorg-xmodmap 1.0.10-2
xorg-xprop 1.2.5-1
xorg-xrandr 1.5.1-2
xorg-xrdb 1.2.1-1
xorg-xset 1.2.4-2
xorgproto 2021.5-1
xsel 1.2.0.20200527-1
xsettings-client 0.10-9
xterm 372-1
xvidcore 1.3.7-2
xxhash 0.8.1-2
xz 5.2.5-3
youtube-dl 2021.12.17-1
yt-dlp 2022.04.08-1
yubico-c 1.13-6
yubico-c-client 2.15-5
yubikey-personalization 1.20.0-3
zathura 0.4.9-1
zathura-pdf-mupdf 0.3.8-1
zeromq 4.3.4-2
zimg 3.0.3-2
zita-alsa-pcmi 0.4.0-1
zita-resampler 1.8.0-1
zlib 1:1.2.12-1
zoom 5.10.3-1
zstd 1.5.2-3
zxing-cpp 1.2.0-1
zziplib 0.13.72-1
