cups 1:2.4.1-1
cups-filters 1.28.15-1
curl 7.82.0-2
dav1d 0.9.2-1
db 5.3.28-5
dbus 1.14.0-1
dbus-glib 0.112-2
dbus-python 1.2.18-3
dconf 0.40.0-1
desktop-file-utils 0.26-2
device-mapper 2.03.15-1
dhcpcd 9.4.1-1
diffutils 3.8-1
diskonaut 0.11.0-1
dmraid 1.0.0.rc16.3-13
dnssec-anchors 20190629-3
docbook-xml 4.5-9
docbook-xsl 1.79.2-7
dosfstools 4.2-2
dotnet-host 6.0.2.sdk102-1
dotnet-runtime 6.0.2.sdk102-1
double-conversion 3.2.0-1
dragon-drag-and-drop 1.1.1-1
dropbox 143.4.4161-1
dunst 1.8.1-1
dust 0.8.0-1
dvd+rw-tools 7.1-9
e2fsprogs 1.46.5-3
ecasound 2.9.3-7
ed 1.18-1
elfutils 0.186-5
ell 0.49-1
enchant 2.3.2-2
espeak-ng 1.51-1
exa 0.10.1-5
exiv2 0.27.5-1
expac 10-5
expat 2.4.8-1
faad2 2.10.0-1
fakechroot 2.20.1-2
fakeroot 1.28-1
falkon 3.2.0-2
fbset 2.1-7
fcron 3.2.1-5
fd 8.3.2-1
feh 3.8-2
ffcall 2.4-1
ffmpeg 2:5.0-6
ffmpeg4.4 4.4.1-4
ffnvcodec-headers 11.1.5.1-2
fftw 3.3.10-2
figlet 2.2.5-4
figlet-fonts 1.0-3
file 5.41-1
filesystem 2021.12.07-1
findutils 4.9.0-1
firefox 99.0.1-1
firewalld 1.0.3-3
flac 1.3.4-2
flake8 1:4.0.1-5
flex 2.6.4-3
font-manager 0.8.8-1
fontconfig 2:2.14.0-1
fontpreview-git 1.0.6.r5.g467befa-1
foomatic-db-engine 4:20200206-1
fortune-mod 3.12.0-1
freeglut 3.2.2-1
freetype2 2.12.0-2
fribidi 1.0.11-1
fuse-common 3.10.5-1
fuse2 2.9.9-4
fuse3 3.10.5-1
fzf 0.30.0-1
fzy 1.0-2
galculator 2.1.4-6
gawk 5.1.1-1
gc 8.2.0-3
gcc 11.2.0-4
gcc-libs 11.2.0-4
gcr 3.41.0-2
gd 2.3.3-3
gdbm 1.23-1
gdk-pixbuf2 2.42.8-1
gegl 0.4.36-2
gendesk 1.0.9-1
geoclue 2.6.0-2
geocode-glib 3.26.2+r9+g6047da3-2
geoip 1.6.12-2
geoip-database 20220315-1
gettext 0.21-2
ghc-libs 9.0.2-1
ghostscript 9.56.1-1
giflib 5.2.1-2
gifski 1.6.4-3
gimp 2.10.30-2
girara 0.3.7-1
git 2.35.3-1
glances 3.2.4-2
glew 2.2.0-2
glfw-x11 3.3.7-1
glib-networking 1:2.72.0-1
glib-perl 1.329.3-2
glib2 2.72.0-1
glib2-docs 2.72.0-1
glibc 2.35-3
glibmm 2.66.2-1
glslang 11.8.0-2
glu 9.0.2-2
gmime3 3.2.7-1
gmp 6.2.1-1
gmrun 1.3w-1
gnome-disk-utility 42.0-1
gnu-free-fonts 20120503-8
gnupg 2.2.32-2
gnutls 3.7.4-1
go 2:1.18.1-1
gobject-introspection-runtime 1.72.0-1
google-chrome 100.0.4896.88-1
gpgme 1.17.1-1
gphoto2 2.5.28-1
gpm 1.20.7.r38.ge82d1a6-4
gprename 20220206-1
gptfdisk 1.0.9-1
graphene 1.10.8-1
graphicsmagick 1.3.38-1
graphite 1:1.3.14-1
graphviz 3.0.0-1
grep 3.7-1
groff 1.22.4-7
grub 2:2.06-5
gsasl 1.10.0-1
gsettings-desktop-schemas 42.0-1
gsfonts 20200910-2
gsimplecal 2.2-1
gsl 2.7.1-1
gsm 1.0.19-1
gst-plugins-base 1.20.1-1
gst-plugins-base-libs 1.20.1-1
gst-plugins-good 1.20.1-1
gst-plugins-ugly 1.20.1-1
gstreamer 1.20.1-1
gtest 1.11.0-3
gtk-doc 1.33.2-1
gtk-sharp-2 2.12.45-4
gtk-update-icon-cache 1:4.6.2-2
gtk2 2.24.33-2
gtk2-perl 1.24993-3
gtk3 1:3.24.33-2
gtkmm3 3.24.5-2
gtop 1.1.3-1
gts 0.7.6.121130-2
gucharmap 14.0.3-1
guile 2.2.7-2
gumbo-parser 0.10.1-2
guvcview 2.0.7-4
guvcview-common 2.0.7-4
gvfs 1.50.0+r5+g747c7f6e-1
gvfs-gphoto2 1.50.0+r5+g747c7f6e-1
gvfs-mtp 1.50.0+r5+g747c7f6e-1
gvim 8.2.4651-1
gzip 1.12-1
harfbuzz 4.2.0-3
harfbuzz-icu 4.2.0-3
haskell-aeson 1.5.6.0-97
haskell-aeson-pretty 0.8.9-48
haskell-ansi-terminal 0.11.1-19
haskell-appar 0.1.8-13
haskell-asn1-encoding 0.9.6-166
haskell-asn1-parse 0.9.5-166
haskell-asn1-types 0.3.4-145
haskell-assoc 1.0.2-134
haskell-async 2.2.4-44
haskell-attoparsec 0.14.4-13
haskell-base-compat 0.12.1-1
haskell-base-compat-batteries 0.12.1-12
haskell-base-noprelude 4.13.0.0-1
haskell-base-orphans 0.8.6-29
haskell-base16-bytestring 1.0.2.0-19
