gts 0.7.6.121130-2
gucharmap 14.0.1-1
guile 2.2.7-2
gumbo-parser 0.10.1-2
guvcview 2.0.7-3
guvcview-common 2.0.7-3
gvfs 1.48.1-1
gvfs-gphoto2 1.48.1-1
gvfs-mtp 1.48.1-1
gvim 8.2.3890-1
gzip 1.11-1
harfbuzz 3.2.0-1
harfbuzz-icu 3.2.0-1
haskell-aeson 1.5.6.0-68
haskell-aeson-pretty 0.8.9-18
haskell-ansi-terminal 0.11-198
haskell-appar 0.1.8-12
haskell-asn1-encoding 0.9.6-145
haskell-asn1-parse 0.9.5-145
haskell-asn1-types 0.3.4-124
haskell-assoc 1.0.2-116
haskell-async 2.2.3-100
haskell-attoparsec 0.14.2-6
haskell-base-compat 0.11.2-6
haskell-base-compat-batteries 0.11.2-175
haskell-base-noprelude 4.13.0.0-1
haskell-base-orphans 0.8.5-28
haskell-base16-bytestring 1.0.2.0-1
haskell-base64-bytestring 1.2.1.0-22
haskell-basement 0.0.12-3
haskell-bifunctors 5.5.11-41
haskell-bitarray 0.0.1.1-22
haskell-blaze-builder 0.4.2.2-1
haskell-blaze-html 0.9.1.2-145
haskell-blaze-markup 0.8.2.8-51
haskell-byteable 0.1.1-24
haskell-byteorder 1.0.4-23
haskell-case-insensitive 1.2.1.0-124
haskell-cereal 0.5.8.2-1
haskell-citeproc 0.4.1-59
haskell-cmark-gfm 0.2.2-100
haskell-cmdargs 0.10.21-3
haskell-colour 2.3.6-52
haskell-commonmark 0.2.1-30
haskell-commonmark-extensions 0.2.1.2-37
haskell-commonmark-pandoc 0.2.1.1-38
haskell-comonad 5.0.8-120
haskell-conduit 1.3.4.2-18
haskell-conduit-extra 1.3.5-191
haskell-connection 0.3.1-161
haskell-cookie 0.4.5-11
haskell-cryptonite 0.29-38
haskell-data-default 0.7.1.1-187
haskell-data-default-class 0.1.2.0-23
haskell-data-default-instances-containers 0.0.1-35
haskell-data-default-instances-dlist 0.0.1-200
haskell-data-default-instances-old-locale 0.0.1-35
haskell-data-fix 0.3.2-23
haskell-diff 0.4.0-11
haskell-digest 0.0.1.3-1
haskell-distributive 0.6.2.1-123
haskell-dlist 1.0-123
haskell-doclayout 0.3.0.2-46
haskell-doctemplates 0.10.0.1-18
haskell-emojis 0.1-132
haskell-erf 2.0.0.0-23
haskell-errors 2.3.0-63
haskell-file-embed 0.0.14.0-3
haskell-glob 0.10.2-11
haskell-haddock-library 1.10.0-80
haskell-haddock-library1.9 1.9.0-3
haskell-hashable 1.3.4.1-13
haskell-hourglass 0.2.12-167
haskell-hslua 1.3.0.1-85
haskell-hslua-module-path 0.1.0.1-70
haskell-hslua-module-system 0.2.2.1-141
haskell-hslua-module-text 0.3.0.1-129
haskell-hsyaml 0.2.1.0-137
haskell-http 4000.3.16-107
haskell-http-client 0.7.9-24
haskell-http-client-tls 0.3.5.3-473
haskell-http-types 0.12.3-201
haskell-hxt 9.3.1.22-46
haskell-hxt-charproperties 9.5.0.0-3
haskell-hxt-regex-xmlschema 9.2.0.7-4
haskell-hxt-unicode 9.0.2.4-24
haskell-indexed-traversable 0.1.2-1
haskell-integer-logarithms 1.0.3.1-5
haskell-iproute 1.7.11-49
haskell-ipynb 0.1.0.1-260
haskell-jira-wiki-markup 1.4.0-34
haskell-juicypixels 3.3.6-11
haskell-memory 0.16.0-38
haskell-mime-types 0.1.0.9-13
haskell-mono-traversable 1.0.15.3-18
haskell-network 3.1.2.5-8
haskell-network-uri 2.6.4.1-56
haskell-old-locale 1.0.0.7-29
haskell-old-time 1.1.0.3-29
haskell-pandoc-types 1.22-124
haskell-pem 0.2.4-201
haskell-primitive 0.7.3.0-5
haskell-quickcheck 2.14.2-249
haskell-random 1.2.1-38
haskell-regex-base 0.94.0.2-1
haskell-regex-pcre 0.95.0.0-12
haskell-regex-tdfa 1.3.1.1-31
