gtk2 2.24.33-2
gtk3 1:3.24.34-1
gtkmm3 3.24.6-1
gtop 1.1.3-1
gts 0.7.6.121130-2
gucharmap 14.0.3-1
guile 2.2.7-2
gumbo-parser 0.10.1-2
gvfs 1.50.2-1
gvfs-gphoto2 1.50.2-1
gvfs-mtp 1.50.2-1
gvim 8.2.5046-2
gzip 1.12-1
handlr-bin 0.6.4-3
harfbuzz 4.3.0-1
harfbuzz-icu 4.3.0-1
haskell-aeson 1.5.6.0-115
haskell-aeson-pretty 0.8.9-66
haskell-ansi-terminal 0.11.2-5
haskell-appar 0.1.8-13
haskell-asn1-encoding 0.9.6-176
haskell-asn1-parse 0.9.5-176
haskell-asn1-types 0.3.4-155
haskell-assoc 1.0.2-145
haskell-async 2.2.4-76
haskell-attoparsec 0.14.4-23
haskell-base-compat 0.12.1-1
haskell-base-compat-batteries 0.12.1-31
haskell-base-orphans 0.8.6-49
haskell-base16-bytestring 1.0.2.0-29
haskell-base64-bytestring 1.2.1.0-50
haskell-basement 0.0.14-1
haskell-bifunctors 5.5.12-9
haskell-blaze-builder 0.4.2.2-2
haskell-blaze-html 0.9.1.2-173
haskell-blaze-markup 0.8.2.8-79
haskell-byteable 0.1.1-25
haskell-byteorder 1.0.4-24
haskell-case-insensitive 1.2.1.0-152
haskell-cereal 0.5.8.2-2
haskell-citeproc 0.6.0.1-58
haskell-cmdargs 0.10.21-4
haskell-colour 2.3.6-108
haskell-commonmark 0.2.1.1-30
haskell-commonmark-extensions 0.2.3-15
haskell-commonmark-pandoc 0.2.1.2-50
haskell-comonad 5.0.8-148
haskell-conduit 1.3.4.2-63
haskell-conduit-extra 1.3.6-4
haskell-connection 0.3.1-203
haskell-cookie 0.4.5-12
haskell-cryptonite 0.30-19
haskell-data-default 0.7.1.1-231
haskell-data-default-class 0.1.2.0-24
haskell-data-default-instances-containers 0.0.1-36
haskell-data-default-instances-dlist 0.0.1-244
haskell-data-default-instances-old-locale 0.0.1-36
haskell-data-fix 0.3.2-51
haskell-diff 0.4.1-24
haskell-digest 0.0.1.3-2
haskell-distributive 0.6.2.1-151
haskell-dlist 1.0-166
haskell-doclayout 0.3.1.1-21
haskell-doctemplates 0.10.0.1-69
haskell-emojis 0.1.2-23
haskell-erf 2.0.0.0-24
haskell-errors 2.3.0-64
haskell-file-embed 0.0.15.0-1
haskell-ghc-bignum-orphans 0.1.1-1
haskell-glob 0.10.2-39
haskell-haddock-library 1.10.0-140
haskell-haddock-library1.9 1.9.0-3
haskell-hashable 1.4.0.2-19
haskell-hourglass 0.2.12-195
haskell-hslua 2.1.0-23
haskell-hslua-aeson 2.1.0-23
haskell-hslua-classes 2.1.0-23
haskell-hslua-core 2.1.0-23
haskell-hslua-marshalling 2.1.0-23
haskell-hslua-module-path 1.0.1-23
haskell-hslua-module-system 1.0.1-23
haskell-hslua-module-text 1.0.1-23
haskell-hslua-module-version 1.0.1-23
haskell-hslua-objectorientation 2.1.0-23
haskell-hslua-packaging 2.1.0-23
haskell-hsyaml 0.2.1.1-7
haskell-http 4000.4.1-8
haskell-http-client 0.7.11-31
haskell-http-client-tls 0.3.6.1-26
haskell-http-types 0.12.3-243
